Structure Number,HWB Class,Kskew,K3D,Kshape (assumed),Slight,Moderate,Extensive,Complete,NBI Class,Dispersion
17362 021 01619,HWB4,0.9480474915842386,1.2,1.0,0.8,1.1376569899010862,1.3651883878813034,1.9340168828318467,105.0,0.6
18431 053 08525,HWB23,0.8752396489642011,1.165,1.0,0.9,0.9176887719389649,1.121619610147624,1.5294812865649416,602.0,0.6
19184 016 08707,HWB4,0.8408964152537145,1.2,1.0,0.8,1.0090756983044573,1.2108908379653487,1.7154286871175775,502.0,0.6
07552A002 07662,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,201.0,0.6
09312A001F00095,HWB17,1.0,1.0416666666666667,1.0,0.25,0.3645833333333333,0.46875000000000006,0.7291666666666666,502.0,0.6
03780 273 00363,HWB10,1.0,1.11,1.0,0.6,0.9990000000000001,1.2210000000000003,1.665,204.0,0.6
08452 021 00883,HWB10,0.8408964152537145,1.11,1.0,0.6,0.8400555188384609,1.0267345230247857,1.4000925313974348,204.0,0.6
03781 273 00470,HWB10,0.8687402259725124,1.11,1.0,0.6,0.86787148574654,1.060731815912438,1.4464524762442332,204.0,0.6
09260A001 00461,HWB17,0.9050701874932087,1.125,1.0,0.25,0.3563713863254509,0.4581917824184369,0.7127427726509018,502.0,0.6
00524 292 00664,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,111.0,0.6
09259A001 00532,HWB17,0.9520019889877593,1.125,1.0,0.25,0.3748507831639302,0.48195100692505316,0.7497015663278604,502.0,0.6
09259 001 00536,HWB17,0.9480474915842386,1.125,1.0,0.25,0.3732936998112939,0.4799490426145208,0.7465873996225878,502.0,0.6
00523 292 00597,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,102.0,0.6
21085 015 06836,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
21084 015 06670,HWB4,0.9306048591020997,1.2,1.0,0.8,1.1167258309225196,1.3400709971070235,1.8984339125682832,501.0,0.6
20673 001 01034,HWB4,0.9520019889877593,1.2,1.0,0.8,1.1424023867853113,1.3708828641423734,1.942084057535029,505.0,0.6
03761A270 01823,HWB10,0.9520019889877593,1.11,1.0,0.6,0.9510499869987716,1.1623944285540544,1.5850833116646195,204.0,0.6
21378 021 00426,HWB4,0.9306048591020997,1.2,1.0,0.8,1.1167258309225196,1.3400709971070235,1.8984339125682832,501.0,0.6
21570 018 05632,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,501.0,0.6
21569 018 05629,HWB19,1.0,1.25,1.0,0.5,1.0,1.375,2.125,505.0,0.6
21568 018 05623,HWB19,1.0,1.0625,1.0,0.5,0.8500000000000001,1.1687500000000002,1.80625,505.0,0.6
17460 021 00317,HWB4,0.7477920188600216,1.2,1.0,0.8,0.8973504226320258,1.076820507158431,1.525495718474444,501.0,0.6
08749 063 02379,HWB10,1.0,1.055,1.0,0.6,0.9495,1.1605,1.5825,204.0,0.6
21567 018 05598,HWB4,1.0,1.2,1.0,0.8,1.2,1.44,2.04,505.0,0.6
18408 002 07116,HWB19,0.7176615322769182,1.125,1.0,0.5,0.6458953790492264,0.8881061461926864,1.3725276804796058,502.0,0.6
17459 021 00250,HWB4,0.9907710045452803,1.2,1.0,0.8,1.1889252054543364,1.4267102465452037,2.021172849272372,501.0,0.6
03462 233 01032,HWB5,1.0,1.125,1.0,0.25,0.39375,0.50625,0.7875,104.0,0.6
00498 292 00064,HWB3,1.0,1.2,1.0,0.8,1.2,1.44,2.04,111.0,0.6
08746N001 01329,HWB17,0.9871018512723169,1.125,1.0,0.25,0.38867135393847474,0.49972031220661045,0.7773427078769495,502.0,0.6
